q;1556743313158;0,0,-5.11123881314595e-19,-1,
v;1556743313158;0,0,1.02224776262919e-18
q;1556743313191;0.00931065821463191,-0.000533327799855265,-0.00507275053131665,-0.999943645615649,
v;1556743313191;-0.0186267550062569,0.000972303017659253,0.0101369301133156
q;1556743313223;0.0208817237798476,-0.000707390432578059,-0.0102311039623421,-0.999729352236129,
v;1556743313223;-0.0417787719883177,0.000987974056703246,0.0204463918002268
q;1556743313258;0.0386369358987509,-0.00163237799932059,-0.0206240998610025,-0.999039122873247,
v;1556743313258;-0.0773440440093239,0.00167291698403825,0.0412172811791622
q;1556743313293;-0.0601735875335006,-0.000615786154177456,0.0329822186723099,0.997642688251767,
v;1556743313293;-0.120312908082881,-0.00523585905618356,0.0664115819702751
q;1556743313326;-0.0820760325491593,-0.00324899180672344,0.0466814061908396,0.995526903327718,
v;1556743313326;-0.163846574633298,-0.0143240903681187,0.0948897935346187
q;1556743313359;-0.114995447492506,-0.00501995025121005,0.063282768286286,0.991335532699952,
v;1556743313359;-0.229368690909098,-0.0251691348178121,0.130398124074451
q;1556743313393;-0.141735266467066,-0.0145805348853528,0.0799110860557348,0.986566135931778,
v;1556743313393;-0.281016205547634,-0.053546763067706,0.169220976298136
q;1556743313427;-0.174956990147022,-0.0231204528530623,0.10079875336108,0.979129770551083,
v;1556743313427;-0.344738069822065,-0.0856868623169114,0.220098451051652
q;1556743313463;0.212613398080283,0.036660857040816,-0.113919599473602,-0.969780309850412,
v;1556743313463;-0.415911393448005,-0.131063971552843,0.261560391078412
q;1556743313498;-0.24194275675475,-0.0523338857764197,0.126479442201766,0.960587225375074,
v;1556743313498;-0.468530818521998,-0.182288032129119,0.305448055450347
q;1556743313532;-0.273101380965923,-0.0678966836008508,0.135824052046952,0.949924998595183,
v;1556743313532;-0.524069556141476,-0.236886282493974,0.347853065519371
q;1556743313567;-0.293181268419373,-0.10459086361194,0.148757157661464,0.938603645391067,
v;1556743313567;-0.545966975824195,-0.338210514702559,0.409890856193041
q;1556743313599;-0.301514908186706,-0.13791022950581,0.151619490267131,0.931171873989949,
v;1556743313599;-0.546505207535585,-0.419870297395594,0.442112274488664
q;1556743313633;-0.309450662073264,-0.167305045027631,0.150895335304863,0.923839762856067,
v;1556743313633;-0.548343787341995,-0.491180303832234,0.464570608170953
q;1556743313666;-0.309133339055535,-0.201718011492431,0.158082942180659,0.915836342320735,
v;1556743313666;-0.526435591619228,-0.570894627675192,0.499682044833944
q;1556743313697;-0.290491522241915,-0.235704656243951,0.149934041869504,0.915192752167088,
v;1556743313697;-0.47915687944185,-0.624074280839545,0.482036489129279
q;1556743313728;-0.278569949406011,-0.272279302311495,0.137073866044077,0.910754368679299,
v;1556743313728;-0.447566315031528,-0.687827667006303,0.461434484273435
q;1556743313763;-0.250915057498225,-0.308972822540965,0.127209608224605,0.908512600037597,
v;1556743313763;-0.386890264729367,-0.741170169243226,0.430161988497105
q;1556743313795;-0.221821716084811,-0.326899830180084,0.0979804560838548,0.913417460708422,
v;1556743313795;-0.348163495931722,-0.749882804167778,0.351922335371184
q;1556743313826;-0.192702090743812,-0.35258607442126,0.0835694895332932,0.9119019161984,
v;1556743313826;-0.296860979793607,-0.784036047156686,0.306254816932979
q;1556743313857;-0.161682824268196,-0.357513728141403,0.0628984978048943,0.917652645340808,
v;1556743313857;-0.254501699157732,-0.77400053150909,0.241063537495978
q;1556743313889;-0.13738810841469,-0.367290765711956,0.0469531035989474,0.918704200029251,
v;1556743313889;-0.219710592313344,-0.782007915409475,0.193001672058465
q;1556743313920;-0.112310052156512,-0.375349108163949,0.0319483195062897,0.919499213738573,
v;1556743313920;-0.183583950149202,-0.788594012011947,0.146027465535339
q;1556743313951;-0.0863435287853339,-0.382505389671854,0.0151746500903565,0.919784840005267,
v;1556743313951;-0.147763290380692,-0.795261715379955,0.0951473237239754
q;1556743313984;-0.0617147742864406,-0.388306302078364,6.22700625820902e-05,0.919461526396531,
v;1556743313984;-0.11368508655918,-0.80194887803271,0.0483739870487906
q;1556743314017;-0.039283869309501,-0.392517851269798,-0.0128316087275134,0.918815467797577,
v;1556743314017;-0.0823555882656098,-0.807765085998075,0.00728423147248004
q;1556743314050;-0.0202435033430114,-0.395583161983438,-0.0251691467780939,0.917862013909525,
v;1556743314050;-0.0571054989680021,-0.81299139376647,-0.0302415272027494
q;1556743314084;-0.00552241689186412,-0.400758136986804,-0.0337964272889166,0.915543674574317,
v;1556743314084;-0.0372089996238229,-0.824131098794998,-0.0575294302359096
q;1556743314116;0.0143188738049804,-0.409774328984744,-0.0677908478365503,0.909551741303188,
v;1556743314116;-0.0295146700904444,-0.844574947972687,-0.135526928255391
q;1556743314150;0.0206018264236089,-0.384396124261248,-0.0474533968417118,0.92171761376743,
v;1556743314150;0.00149632948125,-0.790301437564924,-0.10350059406928
q;1556743314183;0.0226904013756155,-0.37333737744355,-0.0362000612755139,0.926711337932495,
v;1556743314183;0.0150257979551332,-0.766576024592364,-0.0841451135505341
q;1556743314216;-0.00652255381951973,-0.387232364483225,-0.0429212868432271,0.920959453680847,
v;1556743314216;-0.045270499432253,-0.794369060616058,-0.0741498711964854
q;1556743314251;-0.0260780140953956,-0.383939408778321,-0.0351784005258912,0.922319330657356,
v;1556743314251;-0.0751880844032102,-0.787223255466392,-0.0450089987615301
q;1556743314284;-0.0528451706044331,-0.379898555529347,-0.024030518713065,0.923204749565818,
v;1556743314284;-0.116092741809018,-0.78051420345577,-0.00424717129277545
q;1556743314317;-0.0812477553222506,-0.37622385985874,-0.0120881683001869,0.922880428720446,
v;1556743314317;-0.159738094807942,-0.777337809667221,0.039333589694564
q;1556743314351;-0.11173771752203,-0.373606774034912,0.00100555489025118,0.920832042088869,
v;1556743314351;-0.206496378207849,-0.779920172195788,0.0873071667442519
q;1556743314383;-0.144436973870819,-0.369194870955098,0.0177328392788136,0.917888149095847,
v;1556743314383;-0.2548086344481,-0.783363552182814,0.14434974313089
q;1556743314415;-0.179906983971025,-0.367111946517376,0.0323501261504806,0.912039344096909,
v;1556743314415;-0.309321344425789,-0.796946608849577,0.201993458514596
q;1556743314448;-0.211561465460561,-0.362222669484844,0.0487486397925199,0.906454661945005,
v;1556743314448;-0.355678020071082,-0.807449117539252,0.260719291444943
q;1556743314483;-0.246164763729363,-0.358129004059557,0.0632034852057425,0.898416298275596,
v;1556743314483;-0.408296972998985,-0.825719763875503,0.321348891403207
q;1556743314515;-0.278680250639126,-0.358637774775685,0.0758683524376548,0.887671255311365,
v;1556743314515;-0.455971070933762,-0.857569411312043,0.381869145863659
q;1556743314550;-0.301473904792285,-0.356719391566347,0.0881131705633348,0.879830000388202,
v;1556743314550;-0.486605629810934,-0.879213666319126,0.432054305299139
q;1556743314583;-0.321642817929605,-0.359479819206338,0.0891332955891734,0.871421489794172,
v;1556743314583;-0.519550133955806,-0.907249672179302,0.461578974488965
q;1556743314616;0.340169016129931,0.377412093375719,-0.0966592149851629,-0.855863393537429,
v;1556743314616;-0.534389445673406,-0.973932036351234,0.512806904050465
q;1556743314650;-0.350686560814073,-0.394421882665547,0.0981711962358316,0.84368994942964,
v;1556743314650;-0.540190898321985,-1.02811302286211,0.541850691998774
q;1556743314683;-0.358264053280914,-0.419296892512076,0.0955915854121233,0.828673176140536,
v;1556743314683;-0.539381164233248,-1.09675885038363,0.564262352929859
q;1556743314716;-0.36115652390073,-0.444603623686955,0.0930353012120804,0.814394263104025,
v;1556743314716;-0.529984465880015,-1.16097186633208,0.579770838084549
q;1556743314750;-0.360483503190092,-0.471355699515728,0.089973400183298,0.799862635532686,
v;1556743314750;-0.51421971165014,-1.22422040098948,0.589107371557407
