q;1556286889552;-0.07542194,-0.034044743,0.02387546,0.9962843,
v;1556286889552;-0.149210773418186,-0.0723036214660384,0.0533264484461778
q;1556286889583;-0.07264871,-0.044015806,0.019400368,0.996197,
v;1556286889583;-0.143529300615801,-0.091584037902034,0.0455323226728548
q;1556286889615;-0.070166886,-0.06462403,0.016601292,0.99530137,
v;1556286889615;-0.137965982537445,-0.132615314296696,0.0425323635634685
q;1556286889649;-0.06894377,-0.09917157,0.012758909,0.9925971,
v;1556286889649;-0.134743489772212,-0.201818287078768,0.0393703738987682
q;1556286889684;-0.06784654,-0.13759397,0.006251856,0.98814255,
v;1556286889684;-0.132753255143607,-0.278792135781911,0.0313065273415791
q;1556286889718;-0.066140726,-0.1764214,-0.00059595966,0.9820899,
v;1556286889718;-0.130492587676264,-0.356946967479348,0.0223586491065497
q;1556286889751;-0.06349937,-0.2207982,-0.009902512,0.97319984,
v;1556286889751;-0.128319930040977,-0.446771501668309,0.00883963813278476
q;1556286889784;-0.05977123,-0.26640174,-0.021869492,0.96175843,
v;1556286889784;-0.12696394172501,-0.539784033641632,-0.0103031289648827
q;1556286889816;-0.056221396,-0.31255648,-0.033423774,0.9476447,
v;1556286889816;-0.12779703148419,-0.63535887528798,-0.0284387190724389
q;1556286889850;-0.052070353,-0.36602306,-0.045244254,0.9280457,
v;1556286889850;-0.130135214511439,-0.748327161768915,-0.0462671550528043
q;1556286889884;-0.048360955,-0.42325512,-0.05524215,0.9030308,
v;1556286889884;-0.134511166741602,-0.872597006029351,-0.0594038931945614
q;1556286889918;-0.047216892,-0.48161018,-0.055941936,0.8733228,
v;1556286889918;-0.136781703069462,-1.00432631473592,-0.0527473549898071
q;1556286889951;-0.048574533,-0.54034376,-0.055758357,0.8381886,
v;1556286889951;-0.142164996566395,-1.14227055708277,-0.0414075970783701
q;1556286889985;-0.047815535,-0.6005408,-0.0668512,0.7953586,
v;1556286889985;-0.156998914584721,-1.28956131214601,-0.0495403046880008
q;1556286890018;-0.047798853,-0.6552126,-0.0788609,0.7497952,
v;1556286890018;-0.175926093597645,-1.43137668476531,-0.0565243166000478
q;1556286890051;-0.045239367,-0.6979782,-0.090445355,0.70894253,
v;1556286890051;-0.191571616086619,-1.54883314032213,-0.0663505185473683
q;1556286890083;-0.04095522,-0.72558045,-0.100194335,0.679571,
v;1556286890083;-0.202442002392635,-1.62829009910542,-0.0784260206294013
q;1556286890115;-0.03913313,-0.73504066,-0.10562458,0.668601,
v;1556286890115;-0.209126613748337,-1.65639588356085,-0.0856818147496317
q;1556286890148;-0.040664602,-0.7302562,-0.108743176,0.67323637,
v;1556286890148;-0.215232464680386,-1.64236271410642,-0.0892022733056921
q;1556286890180;-0.042268414,-0.7189194,-0.11071763,0.68491596,
v;1556286890180;-0.21883722531889,-1.6089794760037,-0.0932450645107043
q;1556286890211;-0.043517623,-0.7000046,-0.111340344,0.7040618,
v;1556286890211;-0.218899686334159,-1.5541999900102,-0.0983577365565434
q;1556286890244;-0.045953117,-0.6737454,-0.10894356,0.7294428,
v;1556286890244;-0.215505011599555,-1.48068186209461,-0.0994760009653688
q;1556286890276;-0.048654545,-0.6400534,-0.103839554,0.75972486,
v;1556286890276;-0.208358164739566,-1.3899950291314,-0.0977626801585489
q;1556286890308;-0.050454587,-0.6022708,-0.099091135,0.79050946,
v;1556286890308;-0.200469092648481,-1.29225356053867,-0.0980067460237435
q;1556286890340;-0.052209802,-0.5546851,-0.092379145,0.8252664,
v;1556286890340;-0.189794064303384,-1.17436286524186,-0.0964331593039556
q;1556286890373;-0.053846918,-0.500751,-0.0813983,0.8600716,
