q;1556055483419;-0.023566786,0.018907975,-0.012902531,0.99946016,
v;1556055483419;-0.0466371102151537,0.0384549571395054,-0.0267145528576892
q;1556055483450;-0.022849228,0.029856976,-0.014098877,0.99919355,
v;1556055483450;-0.0448347220760748,0.0604074914063238,-0.0295734564713817
q;1556055483482;-0.021430671,0.04684366,-0.01532873,0.99855465,
v;1556055483482;-0.0413750887045924,0.0944298906431859,-0.0326546762796033
q;1556055483513;-0.019129328,0.07066084,-0.017733054,0.9971593,
v;1556055483513;-0.0356514614997629,0.142167123677711,-0.0381021728448888
q;1556055483566;-0.014655493,0.12516394,-0.022194002,0.99177957,
v;1556055483566;-0.0235164270803124,0.251636703772962,-0.0477230971426856
q;1556055483604;-0.010528536,0.16988064,-0.025113434,0.98508835,
v;1556055483604;-0.0122108072753369,0.34186918004983,-0.0530839744437829
q;1556055483643;-0.0061515677,0.21721894,-0.025426017,0.9757723,
v;1556055483643;-0.000959033951156746,0.438106400625969,-0.0523163659912562
q;1556055483677;-0.0017385525,0.2542945,-0.024498282,0.96681494,
v;1556055483677;0.00909796519256416,0.514175333588831,-0.0482755650189296
q;1556055483710;0.0036313694,0.28190252,-0.025055045,0.95910895,
v;1556055483710;0.0210934826030305,0.571255675093596,-0.0460401533398855
q;1556055483743;0.01039673,0.29573515,-0.023112444,0.95493376,
v;1556055483743;0.0335329851971853,0.600011300927035,-0.0380228807619301
q;1556055483775;0.015446933,0.30127224,-0.019368747,0.95321625,
v;1556055483775;0.0411306627106823,0.611678564232217,-0.0276446429288736
q;1556055483808;0.017289981,0.29621333,-0.013551805,0.95486915,
v;1556055483808;0.0410593252910839,0.601279583962098,-0.0156511848492258
q;1556055483840;0.016749034,0.28350437,-0.006176808,0.9588048,
v;1556055483840;0.0356279494262972,0.574945290964891,-0.00234935073070491
q;1556055483873;0.01488042,0.26216352,-0.00067764876,0.9649085,
v;1556055483873;0.029075893708688,0.530681670564124,0.00649726039217404
q;1556055483906;0.015154196,0.23776433,0.0031981762,0.9711994,
v;1556055483906;0.0279182942725903,0.480373187902166,0.0134240223581539
q;1556055483939;0.014429677,0.20675544,0.010449377,0.9782304,
